state_label,bitstring,n_qubits,m,shots,fidelity_ideal
all_ones,11,2,1,0,0.4999999999999996
all_ones,11,2,2,0,0.9999999999999991
all_ones,11,2,3,0,0.9999999999999991
all_ones,11,2,4,0,0.9999999999999991
pattern,10,2,1,0,0.9999999999999991
pattern,10,2,2,0,0.9999999999999991
pattern,10,2,3,0,0.9999999999999991
pattern,10,2,4,0,0.9999999999999991
all_ones,111,3,1,0,0.07322330470336304
all_ones,111,3,2,0,0.853553390593273
all_ones,111,3,3,0,0.9999999999999991
all_ones,111,3,4,0,0.9999999999999991
pattern,101,3,1,0,0.42677669529663664
pattern,101,3,2,0,0.8535533905932731
pattern,101,3,3,0,0.9999999999999991
pattern,101,3,4,0,0.9999999999999991
all_ones,1111,4,1,0,0.0027868960925442475
all_ones,1111,4,2,0,0.590097065906183
all_ones,1111,4,3,0,0.9619397662556423
all_ones,1111,4,4,0,0.9999999999999987
pattern,1010,4,1,0,0.4267766952966365
pattern,1010,4,2,0,0.8535533905932727
pattern,1010,4,3,0,0.9999999999999989
pattern,1010,4,4,0,0.9999999999999989
all_ones,11111,5,1,0,2.6774713481785217e-05
all_ones,11111,5,2,0,0.3526096462572963
all_ones,11111,5,3,0,0.8808817253813106
all_ones,11111,5,4,0,0.9903926402016138
pattern,10101,5,1,0,0.10245620409599594
pattern,10101,5,2,0,0.6386136526167598
pattern,10101,5,3,0,0.9526980648168497
pattern,10101,5,4,0,0.9903926402016133
all_ones,111111,6,1,0,6.446378184421258e-08
all_ones,111111,6,2,0,0.19358571771802724
all_ones,111111,6,3,0,0.7809062536386336
all_ones,111111,6,4,0,0.9690696529114274
pattern,101010,6,1,0,0.1024562040959959
pattern,101010,6,2,0,0.6386136526167598
pattern,101010,6,3,0,0.9526980648168495
pattern,101010,6,4,0,0.9903926402016133
all_ones,1111111,7,1,0,3.8824724205897515e-11
all_ones,1111111,7,2,0,0.10154225933472742
all_ones,1111111,7,3,0,0.679759810534452
all_ones,1111111,7,4,0,0.9407457166795749
pattern,1010101,7,1,0,0.02050045294751704
pattern,1010101,7,2,0,0.45491997187727307
pattern,1010101,7,3,0,0.8830186112256455
pattern,1010101,7,4,0,0.9732034517560847
all_ones,11111111,8,1,0,5.8466405271280964e-15
all_ones,11111111,8,2,0,0.052017115562896885
all_ones,11111111,8,3,0,0.5860369352108354
all_ones,11111111,8,4,0,0.9092273479381224
pattern,10101010,8,1,0,0.020500452947517026
pattern,10101010,8,2,0,0.4549199718772728
pattern,10101010,8,3,0,0.8830186112256455
pattern,10101010,8,4,0,0.9732034517560845
all_ones,111111111,9,1,0,2.2012063362775283e-19
all_ones,111111111,9,2,0,0.02632772279401986
all_ones,111111111,9,3,0,0.5027408172480433
all_ones,111111111,9,4,0,0.8767252345156024
pattern,101010101,9,1,0,0.003907627378373555
pattern,101010101,9,2,0,0.31978003159938856
pattern,101010101,9,3,0,0.8120276920653903
pattern,101010101,9,4,0,0.9535350984588419
all_ones,1111111111,10,1,0,2.0718606840207242e-24
all_ones,1111111111,10,2,0,0.013244633332079437
all_ones,1111111111,10,3,0,0.4302034103767817
all_ones,1111111111,10,4,0,0.8443785631325332
pattern,1010101010,10,1,0,0.00390762737837355
pattern,1010101010,10,2,0,0.3197800315993884
pattern,1010101010,10,3,0,0.8120276920653898
pattern,1010101010,10,4,0,0.9535350984588417
all_ones,11111111111,11,1,0,4.877037768099103e-30
all_ones,11111111111,11,2,0,0.006642633647241799
all_ones,11111111111,11,3,0,0.3676674995991807
all_ones,11111111111,11,4,0,0.812735155945726
pattern,10101010101,11,1,0,0.0007357112409645564
pattern,10101010101,11,2,0,0.22402369338840428
pattern,10101010101,11,3,0,0.7452318499415077
pattern,10101010101,11,4,0,0.9335298861873512
all_ones,111111111111,12,1,0,5.13210469143703e-36
all_ones,111111111111,12,2,0,0.003326411657820706
all_ones,111111111111,12,3,0,0.31402309017836305
all_ones,111111111111,12,4,0,0.7820403736939532
pattern,101010101010,12,1,0,0.0007357112409645525
pattern,101010101010,12,2,0,0.22402369338840464
pattern,101010101010,12,3,0,0.7452318499415053
pattern,101010101010,12,4,0,0.9335298861873512
