state_label,bitstring,n_qubits,m,shots,noise_regime,success_prob
all_ones,11,2,0,2048,synthetic,0.9384765625
all_ones,11,2,1,2048,synthetic,0.48779296875
all_ones,11,2,2,2048,synthetic,0.9384765625
all_ones,11,2,3,2048,synthetic,0.9384765625
all_ones,11,2,4,2048,synthetic,0.9384765625
pattern,10,2,0,2048,synthetic,0.93115234375
pattern,10,2,1,2048,synthetic,0.9384765625
pattern,10,2,2,2048,synthetic,0.93115234375
pattern,10,2,3,2048,synthetic,0.93115234375
pattern,10,2,4,2048,synthetic,0.93115234375
all_ones,111,3,0,2048,synthetic,0.88818359375
all_ones,111,3,1,2048,synthetic,0.09716796875
all_ones,111,3,2,2048,synthetic,0.76953125
all_ones,111,3,3,2048,synthetic,0.88818359375
all_ones,111,3,4,2048,synthetic,0.88818359375
pattern,101,3,0,2048,synthetic,0.8896484375
pattern,101,3,1,2048,synthetic,0.3896484375
pattern,101,3,2,2048,synthetic,0.76904296875
pattern,101,3,3,2048,synthetic,0.8896484375
pattern,101,3,4,2048,synthetic,0.8896484375
all_ones,1111,4,0,2048,synthetic,0.8115234375
all_ones,1111,4,1,2048,synthetic,0.01806640625
all_ones,1111,4,2,2048,synthetic,0.50927734375
all_ones,1111,4,3,2048,synthetic,0.79248046875
all_ones,1111,4,4,2048,synthetic,0.8115234375
pattern,1010,4,0,2048,synthetic,0.81298828125
pattern,1010,4,1,2048,synthetic,0.375
pattern,1010,4,2,2048,synthetic,0.71240234375
pattern,1010,4,3,2048,synthetic,0.8203125
pattern,1010,4,4,2048,synthetic,0.81298828125
all_ones,11111,5,0,2048,synthetic,0.75732421875
all_ones,11111,5,1,2048,synthetic,0.00439453125
all_ones,11111,5,2,2048,synthetic,0.2958984375
all_ones,11111,5,3,2048,synthetic,0.68310546875
all_ones,11111,5,4,2048,synthetic,0.755859375
pattern,10101,5,0,2048,synthetic,0.751953125
pattern,10101,5,1,2048,synthetic,0.09814453125
pattern,10101,5,2,2048,synthetic,0.5029296875
pattern,10101,5,3,2048,synthetic,0.73486328125
pattern,10101,5,4,2048,synthetic,0.75146484375
all_ones,111111,6,0,2048,synthetic,0.6728515625
all_ones,111111,6,1,2048,synthetic,0.00048828125
all_ones,111111,6,2,2048,synthetic,0.166015625
all_ones,111111,6,3,2048,synthetic,0.56005859375
all_ones,111111,6,4,2048,synthetic,0.6689453125
pattern,101010,6,0,2048,synthetic,0.67236328125
pattern,101010,6,1,2048,synthetic,0.09130859375
pattern,101010,6,2,2048,synthetic,0.470703125
pattern,101010,6,3,2048,synthetic,0.67529296875
pattern,101010,6,4,2048,synthetic,0.68017578125
all_ones,1111111,7,0,2048,synthetic,0.60009765625
all_ones,1111111,7,1,2048,synthetic,0.0
all_ones,1111111,7,2,2048,synthetic,0.08984375
all_ones,1111111,7,3,2048,synthetic,0.453125
all_ones,1111111,7,4,2048,synthetic,0.58984375
pattern,1010101,7,0,2048,synthetic,0.59326171875
pattern,1010101,7,1,2048,synthetic,0.01806640625
pattern,1010101,7,2,2048,synthetic,0.3125
pattern,1010101,7,3,2048,synthetic,0.5703125
pattern,1010101,7,4,2048,synthetic,0.60302734375
all_ones,11111111,8,0,2048,synthetic,0.51904296875
all_ones,11111111,8,1,2048,synthetic,0.0
all_ones,11111111,8,2,2048,synthetic,0.0478515625
all_ones,11111111,8,3,2048,synthetic,0.361328125
all_ones,11111111,8,4,2048,synthetic,0.51318359375
pattern,10101010,8,0,2048,synthetic,0.52392578125
pattern,10101010,8,1,2048,synthetic,0.0146484375
pattern,10101010,8,2,2048,synthetic,0.2978515625
pattern,10101010,8,3,2048,synthetic,0.52294921875
pattern,10101010,8,4,2048,synthetic,0.5498046875
all_ones,111111111,9,0,2048,synthetic,0.4609375
all_ones,111111111,9,1,2048,synthetic,0.0
all_ones,111111111,9,2,2048,synthetic,0.01708984375
all_ones,111111111,9,3,2048,synthetic,0.27783203125
all_ones,111111111,9,4,2048,synthetic,0.45263671875
pattern,101010101,9,0,2048,synthetic,0.46435546875
pattern,101010101,9,1,2048,synthetic,0.00439453125
pattern,101010101,9,2,2048,synthetic,0.205078125
pattern,101010101,9,3,2048,synthetic,0.45458984375
pattern,101010101,9,4,2048,synthetic,0.4951171875
all_ones,1111111111,10,0,2048,synthetic,0.39013671875
all_ones,1111111111,10,1,2048,synthetic,0.0
all_ones,1111111111,10,2,2048,synthetic,0.01171875
all_ones,1111111111,10,3,2048,synthetic,0.22021484375
all_ones,1111111111,10,4,2048,synthetic,0.39111328125
pattern,1010101010,10,0,2048,synthetic,0.37744140625
pattern,1010101010,10,1,2048,synthetic,0.0029296875
pattern,1010101010,10,2,2048,synthetic,0.18017578125
pattern,1010101010,10,3,2048,synthetic,0.38671875
pattern,1010101010,10,4,2048,synthetic,0.4296875
