transform,n_qubits,m,backend,depth_logical,size_logical,num_1q_logical,num_2q_logical,num_h_logical,num_cp_logical,depth_phys,size_phys,num_2q_phys
QFT,2,0,ibm_fez,4,4,2,2,2,1,18,24,5
AQFT,2,1,ibm_fez,2,3,2,1,2,0,9,15,3
AQFT,2,2,ibm_fez,4,4,2,2,2,1,18,24,5
AQFT,2,3,ibm_fez,4,4,2,2,2,1,18,24,5
AQFT,2,4,ibm_fez,4,4,2,2,2,1,18,24,5
QFT,3,0,ibm_fez,6,7,3,4,3,3,46,58,12
AQFT,3,1,ibm_fez,2,4,3,1,3,0,9,19,3
AQFT,3,2,ibm_fez,6,6,3,3,3,2,34,45,10
AQFT,3,3,ibm_fez,6,7,3,4,3,3,46,58,12
AQFT,3,4,ibm_fez,6,7,3,4,3,3,46,58,12
QFT,4,0,ibm_fez,8,12,4,8,4,6,85,134,27
AQFT,4,1,ibm_fez,2,6,4,2,4,0,9,30,6
AQFT,4,2,ibm_fez,8,9,4,5,4,3,44,80,18
AQFT,4,3,ibm_fez,8,11,4,7,4,5,80,120,25
AQFT,4,4,ibm_fez,8,12,4,8,4,6,85,134,27
QFT,5,0,ibm_fez,10,17,5,12,5,10,131,214,44
AQFT,5,1,ibm_fez,2,7,5,2,5,0,9,34,6
AQFT,5,2,ibm_fez,10,11,5,6,5,4,69,101,23
AQFT,5,3,ibm_fez,10,14,5,9,5,7,105,135,29
AQFT,5,4,ibm_fez,10,16,5,11,5,9,109,185,36
QFT,6,0,ibm_fez,12,24,6,18,6,15,196,325,66
AQFT,6,1,ibm_fez,2,9,6,3,6,0,9,45,9
AQFT,6,2,ibm_fez,12,14,6,8,6,5,84,131,31
AQFT,6,3,ibm_fez,12,18,6,12,6,9,144,211,45
AQFT,6,4,ibm_fez,12,21,6,15,6,12,156,271,57
QFT,7,0,ibm_fez,14,31,7,24,7,21,246,468,99
AQFT,7,1,ibm_fez,2,10,7,3,7,0,9,49,9
AQFT,7,2,ibm_fez,14,16,7,9,7,6,97,165,42
AQFT,7,3,ibm_fez,14,21,7,14,7,11,178,254,55
AQFT,7,4,ibm_fez,14,25,7,18,7,15,190,330,69
QFT,8,0,ibm_fez,16,40,8,32,8,28,305,649,140
AQFT,8,1,ibm_fez,2,12,8,4,8,0,9,60,12
AQFT,8,2,ibm_fez,16,19,8,11,8,7,100,192,44
AQFT,8,3,ibm_fez,16,25,8,17,8,13,203,339,77
AQFT,8,4,ibm_fez,16,30,8,22,8,18,243,423,90
