t_qubits,m,probability,bitstring
5,0,0.003173828125,01000
5,0,0.334716796875,00000
5,0,0.237060546875,10101
5,0,0.060546875,01010
5,0,0.05517578125,10110
5,0,0.2177734375,01011
5,0,0.0009765625,01110
5,0,0.016357421875,10100
5,0,0.012939453125,01100
5,0,0.009033203125,01101
5,0,0.005126953125,10011
5,0,0.00439453125,11000
5,0,0.001708984375,11011
5,0,0.009521484375,10111
5,0,0.003173828125,11001
5,0,0.001220703125,11100
5,0,0.000732421875,00001
5,0,0.0009765625,10001
5,0,0.002197265625,11010
5,0,0.00048828125,00110
5,0,0.00244140625,01111
5,0,0.010009765625,01001
5,0,0.00048828125,11110
5,0,0.002685546875,10010
5,0,0.001220703125,10000
5,0,0.001953125,00111
5,0,0.0009765625,11101
5,0,0.0009765625,11111
5,0,0.000732421875,00010
5,0,0.00048828125,00100
5,0,0.000732421875,00101
5,1,0.018798828125,00111
5,1,0.157470703125,11111
5,1,0.017578125,11010
5,1,0.341552734375,00000
5,1,0.051025390625,11011
5,1,0.05078125,10111
5,1,0.0537109375,01111
5,1,0.015625,11100
5,1,0.005126953125,10100
5,1,0.006103515625,01010
5,1,0.0068359375,00101
5,1,0.004150390625,01001
5,1,0.005126953125,01100
5,1,0.0146484375,01101
5,1,0.002197265625,01000
5,1,0.018798828125,11001
5,1,0.05078125,11101
5,1,0.015869140625,01011
5,1,0.0068359375,00110
5,1,0.00537109375,00011
5,1,0.052734375,11110
5,1,0.00732421875,10001
5,1,0.015869140625,10011
5,1,0.019775390625,10110
5,1,0.014892578125,10101
5,1,0.00244140625,10000
5,1,0.01904296875,01110
5,1,0.0009765625,00001
5,1,0.0048828125,11000
5,1,0.002685546875,00100
5,1,0.0078125,10010
5,1,0.003173828125,00010
5,2,0.164306640625,01011
5,2,0.043212890625,10011
5,2,0.32958984375,00000
5,2,0.013671875,00011
5,2,0.017333984375,01100
5,2,0.12353515625,10101
5,2,0.005859375,01001
5,2,0.038818359375,01010
5,2,0.0048828125,00111
5,2,0.012451171875,11011
5,2,0.039794921875,10110
5,2,0.004638671875,00100
5,2,0.033935546875,11001
5,2,0.0126953125,10111
5,2,0.01123046875,00110
5,2,0.003173828125,00010
5,2,0.004638671875,11000
5,2,0.040771484375,00101
5,2,0.011962890625,10100
5,2,0.002685546875,11111
5,2,0.01220703125,10001
5,2,0.00341796875,01000
5,2,0.01123046875,01101
5,2,0.00146484375,11100
5,2,0.00830078125,11010
5,2,0.00146484375,01110
5,2,0.011474609375,10010
5,2,0.010986328125,01111
5,2,0.002197265625,10000
5,2,0.00244140625,11110
5,2,0.01123046875,11101
5,2,0.00439453125,00001
5,3,0.208984375,10101
5,3,0.330810546875,00000
5,3,0.056396484375,10110
5,3,0.2109375,01011
5,3,0.004150390625,00101
5,3,0.052978515625,01010
5,3,0.008544921875,10111
5,3,0.018310546875,11011
5,3,0.005859375,10011
5,3,0.00048828125,00100
5,3,0.00341796875,11001
5,3,0.01025390625,01001
5,3,0.0029296875,10010
5,3,0.002685546875,00011
5,3,0.001220703125,01110
5,3,0.013671875,10100
5,3,0.0126953125,01100
5,3,0.011474609375,01101
5,3,0.005615234375,11010
5,3,0.00439453125,01000
5,3,0.00439453125,01111
5,3,0.005615234375,11000
5,3,0.009765625,11101
5,3,0.002197265625,00110
5,3,0.002685546875,10001
5,3,0.002197265625,11100
5,3,0.00244140625,10000
5,3,0.000732421875,11110
5,3,0.0009765625,00010
5,3,0.001220703125,00001
5,3,0.00146484375,00111
5,3,0.00048828125,11111
5,4,0.051025390625,10110
5,4,0.340576171875,00000
5,4,0.001708984375,10001
5,4,0.225830078125,10101
5,4,0.0146484375,10100
5,4,0.228515625,01011
5,4,0.01513671875,01100
5,4,0.0595703125,01010
5,4,0.011962890625,10111
5,4,0.004638671875,11000
5,4,0.00439453125,10011
5,4,0.003662109375,01101
5,4,0.00146484375,01111
5,4,0.006591796875,01001
5,4,0.002685546875,11001
5,4,0.00341796875,01110
5,4,0.0048828125,01000
5,4,0.003173828125,00101
5,4,0.0029296875,10010
5,4,0.0009765625,00111
5,4,0.0009765625,00011
5,4,0.002685546875,11011
5,4,0.001220703125,00110
5,4,0.000244140625,11111
5,4,0.0009765625,11010
5,4,0.001708984375,00100
5,4,0.001220703125,11110
5,4,0.000732421875,11101
5,4,0.000732421875,11100
5,4,0.0009765625,10000
5,4,0.000244140625,00010
5,4,0.00048828125,00001
